,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,"Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)",Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam
nama_kab,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024
DHARMASRAYA,0,0.001,0,0.001,0,0,-,-,0.125,0.12,0.106,0.109,0.116,0.097,0.09,0.086,1.556,1.491,1.444,1.459,1.386,1.48,1.386,1.365,0.015,0.025,0.013,0.026,0.011,0.023,0.018,0.023,0.059,0.057,0.065,0.058,0.062,0.058,0.033
PASAMAN BARAT,0,0,0,-,0,-,-,0,0.08,0.106,0.09,0.096,0.145,0.088,0.095,0.081,2.045,2,1.987,1.972,2.095,1.86,1.842,1.802,0.012,0.001,0.005,0.007,0.009,0.008,0.005,0.01,0.059,0.031,0.052,0.048,0.054,0.038,0.042
KOTA PADANG,0.001,0,0,0,0,-,0,0,0.14,0.155,0.14,0.142,0.158,0.134,0.123,0.117,1.237,1.247,1.231,1.29,1.338,1.276,1.243,1.305,0.009,0.009,0.013,0.007,0.018,0.007,0.016,0.011,0.087,0.105,0.058,0.071,0.076,0.064,0.056
KOTA SOLOK,0.001,0,0,-,0,0,-,0,0.119,0.14,0.121,0.132,0.144,0.125,0.126,0.118,1.444,1.361,1.445,1.415,1.479,1.433,1.378,1.459,0.002,0.014,0.008,0.011,0.011,0.01,0.015,0.02,0.061,0.054,0.07,0.068,0.061,0.06,0.044
KOTA SAWAHLUNTO,0,0.004,0,0.001,0.001,0,0,-,0.137,0.153,0.133,0.154,0.162,0.159,0.147,0.117,1.346,1.31,1.4,1.555,1.463,1.5,1.401,1.4,0.017,0.007,0.029,0.027,0.016,0.019,0.024,0.026,0.046,0.049,0.058,0.054,0.059,0.058,0.041
KOTA PADANG PANJANG,0.001,0,0.001,0,0,-,-,0.001,0.114,0.138,0.123,0.148,0.124,0.137,0.122,0.114,1.373,1.266,1.298,1.379,1.328,1.394,1.233,1.309,0.011,0.019,0.038,0.014,0.013,0.006,0.005,0.01,0.067,0.058,0.064,0.072,0.068,0.051,0.061
KOTA BUKITTINGGI,-,0,0.001,-,-,-,0.001,-,0.151,0.155,0.147,0.153,0.164,0.126,0.139,0.133,1.282,1.228,1.247,1.261,1.257,1.279,1.315,1.269,0.01,0.021,0.017,0.035,0.021,0.012,0.015,0.01,0.061,0.056,0.052,0.06,0.052,0.048,0.042
KOTA PAYAKUMBUH,0,0,0,0,-,0,-,0,0.105,0.119,0.099,0.121,0.104,0.12,0.113,0.095,1.301,1.364,1.243,1.272,1.334,1.425,1.287,1.234,0.005,0.016,0.01,0.013,0.008,0.014,0.006,0.015,0.062,0.075,0.059,0.07,0.068,0.065,0.051
KOTA PARIAMAN,-,0,0,-,0,-,0.001,-,0.068,0.089,0.073,0.092,0.084,0.078,0.08,0.075,1.191,1.225,1.207,1.256,1.229,1.243,1.201,1.211,0.009,0.003,0.004,0.008,0.001,0.002,0.011,0.003,0.074,0.123,0.073,0.084,0.081,0.08,0.086
KUANTAN SINGINGI,0,0,0,-,-,-,-,-,0.088,0.123,0.086,0.104,0.118,0.116,0.131,0.106,1.499,1.423,1.463,1.453,1.435,1.358,1.37,1.375,0.018,0.029,0.011,0.027,0.031,0.015,0.029,0.029,0.044,0.039,0.044,0.054,0.053,0.076,0.085
INDRAGIRI HULU,0.001,0,0,0,-,-,-,-,0.094,0.12,0.1,0.105,0.096,0.087,0.073,0.073,1.462,1.43,1.325,1.533,1.401,1.45,1.37,1.371,0.011,0.013,0.014,0.027,0.019,0.023,0.015,0.015,0.061,0.056,0.049,0.06,0.059,0.067,0.048
INDRAGIRI HILIR,0.001,0,0,-,0,-,0,-,0.068,0.064,0.062,0.078,0.081,0.061,0.05,0.067,1.406,1.362,1.406,1.425,1.346,1.434,1.415,1.498,0.015,0.018,0.009,0.022,0.027,0.017,0.01,0.016,0.047,0.034,0.044,0.039,0.041,0.039,0.032
PELALAWAN,0,0,0.001,0,0,0,-,0,0.099,0.133,0.115,0.13,0.152,0.115,0.122,0.165,1.576,1.599,1.612,1.586,1.666,1.788,1.602,1.468,0.027,0.021,0.037,0.034,0.039,0.037,0.02,0.06,0.074,0.08,0.078,0.076,0.073,0.07,0.054
SIAK,0.001,0.001,0,0.003,0.001,0,-,0.002,0.124,0.105,0.101,0.103,0.118,0.134,0.105,0.094,1.443,1.495,1.494,1.486,1.442,1.42,1.44,1.487,0.02,0.026,0.019,0.011,0.034,0.031,0.029,0.043,0.092,0.091,0.091,0.084,0.078,0.091,0.067
KAMPAR,0.001,0.001,0,0.001,0,0.001,-,0.001,0.114,0.13,0.104,0.126,0.15,0.121,0.112,0.107,1.489,1.409,1.418,1.524,1.495,1.506,1.315,1.346,0.017,0.02,0.009,0.019,0.036,0.018,0.018,0.024,0.079,0.08,0.077,0.075,0.08,0.082,0.064
ROKAN HULU,0,0.009,0,-,0,0,-,0,0.113,0.121,0.124,0.122,0.129,0.113,0.119,0.133,1.787,1.767,1.798,1.775,1.787,1.782,1.788,1.73,0.004,0.011,0.009,0.005,0.014,0.016,0.011,0.009,0.061,0.059,0.072,0.072,0.066,0.068,0.059
BENGKALIS,0,0,0,-,0,0,0,0.001,0.079,0.109,0.099,0.089,0.122,0.136,0.118,0.118,1.419,1.386,1.354,1.411,1.329,1.422,1.447,1.348,0.003,0.011,0.021,0.019,0.018,0.029,0.02,0.034,0.071,0.06,0.057,0.065,0.074,0.077,0.071
ROKAN HILIR,0,0.001,0,0,0,0.001,-,0,0.105,0.127,0.1,0.116,0.134,0.095,0.1,0.095,1.624,1.651,1.621,1.651,1.53,1.49,1.519,1.583,0.003,0.006,0.008,0.013,0.018,0.009,0.014,0.016,0.088,0.064,0.057,0.059,0.068,0.044,0.043
KEPULAUAN MERANTI,0,0,0,-,0,0.001,0,-,0.058,0.062,0.055,0.066,0.069,0.078,0.065,0.063,1.441,1.382,1.382,1.461,1.434,1.513,1.459,1.522,0.022,0.007,0.014,0.008,0.01,0.018,0.015,0.009,0.05,0.062,0.055,0.062,0.069,0.049,0.051
KOTA PEKANBARU,0.001,0,0.001,-,0,0.001,-,0.001,0.116,0.115,0.111,0.117,0.139,0.112,0.108,0.092,1.17,1.136,1.146,1.205,1.135,1.15,1.122,1.163,0.026,0.018,0.028,0.019,0.031,0.024,0.019,0.028,0.074,0.08,0.081,0.076,0.071,0.065,0.062
KOTA DUMAI,0,0.001,0,0,0,-,-,0,0.097,0.097,0.09,0.092,0.122,0.116,0.099,0.084,1.285,1.26,1.271,1.334,1.431,1.372,1.52,1.445,0.01,0.012,0.023,0.019,0.019,0.026,0.024,0.028,0.075,0.08,0.075,0.071,0.072,0.076,0.069
KERINCI,-,0,0.001,-,-,-,0,0,0.31,0.339,0.338,0.33,0.325,0.313,0.271,0.271,1.951,1.859,1.84,1.891,1.802,1.776,1.738,1.832,0.016,0.023,0.03,0.025,0.032,0.055,0.061,0.047,0.054,0.059,0.061,0.063,0.08,0.088,0.047
MERANGIN,0.001,0,0.001,0,-,-,0,-,0.114,0.127,0.107,0.152,0.129,0.101,0.11,0.094,1.692,1.652,1.734,1.722,1.68,1.588,1.545,1.558,0.016,0.007,0.011,0.013,0.011,0.016,0.015,0.014,0.064,0.063,0.073,0.072,0.067,0.052,0.059
SAROLANGUN,-,0,0,-,0,0,0.001,0,0.078,0.102,0.083,0.097,0.11,0.092,0.075,0.079,1.775,1.691,1.714,1.635,1.616,1.613,1.611,1.563,0.011,0.008,0.012,0.02,0.032,0.02,0.017,0.012,0.065,0.062,0.062,0.06,0.073,0.057,0.058
BATANGHARI,-,0,0,0.001,-,0,-,0.002,0.078,0.097,0.094,0.076,0.087,0.083,0.094,0.077,1.532,1.501,1.571,1.581,1.538,1.517,1.388,1.409,0.005,0.008,0.014,0.007,0.007,0.009,0.014,0.012,0.058,0.06,0.062,0.06,0.061,0.069,0.066
MUARO JAMBI,-,0,0,0,0,0,0.001,0,0.092,0.099,0.103,0.118,0.112,0.094,0.074,0.071,1.47,1.372,1.524,1.503,1.539,1.358,1.403,1.314,0.018,0.009,0.012,0.057,0.044,0.034,0.012,0.027,0.105,0.101,0.118,0.104,0.102,0.077,0.064
TANJUNG JABUNG TIMUR,0,0,0,-,-,0,0,0,0.055,0.065,0.066,0.108,0.11,0.087,0.068,0.061,1.54,1.463,1.444,1.523,1.403,1.512,1.44,1.372,0.011,0.024,0.015,0.024,0.034,0.042,0.023,0.016,0.095,0.094,0.094,0.086,0.099,0.075,0.067
TANJUNG JABUNG BARAT,-,0,0.001,0,0,0,0.001,0.001,0.049,0.081,0.082,0.097,0.097,0.08,0.076,0.069,1.428,1.314,1.325,1.305,1.261,1.388,1.295,1.364,0.005,0.02,0.016,0.021,0.019,0.031,0.026,0.026,0.062,0.078,0.088,0.082,0.077,0.066,0.078
TEBO,-,0,0,-,-,-,0,0,0.106,0.128,0.098,0.114,0.12,0.109,0.09,0.085,1.652,1.602,1.477,1.583,1.57,1.608,1.636,1.663,0.009,0.013,0.027,0.017,0.01,0.011,0.014,0.01,0.067,0.07,0.08,0.063,0.075,0.071,0.069
BUNGO,-,0,0,0,-,0,-,-,0.09,0.111,0.091,0.106,0.11,0.1,0.089,0.092,1.504,1.495,1.495,1.615,1.51,1.435,1.419,1.374,0.02,0.013,0.016,0.024,0.022,0.043,0.022,0.028,0.065,0.064,0.061,0.068,0.07,0.062,0.064
KOTA JAMBI,-,0,0,0.002,0,-,-,-,0.138,0.13,0.104,0.11,0.138,0.113,0.094,0.085,1.203,1.136,1.155,1.166,1.184,1.134,1.023,1.098,0.014,0.046,0.054,0.055,0.039,0.035,0.029,0.036,0.084,0.082,0.063,0.075,0.074,0.083,0.066
KOTA SUNGAI PENUH,-,0.001,0.001,0.001,-,-,-,-,0.27,0.282,0.263,0.268,0.284,0.276,0.257,0.247,1.593,1.646,1.771,1.646,1.599,1.49,1.541,1.578,0.006,0.004,0.02,0.014,0.009,0.007,0.035,0.022,0.095,0.09,0.074,0.076,0.074,0.073,0.057
OGAN KOMERING ULU,0.001,0,0,-,0,-,-,-,0.027,0.04,0.032,0.04,0.05,0.052,0.033,0.039,1.678,1.579,1.585,1.633,1.658,1.635,1.637,1.575,0.015,0.003,0.02,0.012,0.015,0.02,0.01,0.02,0.068,0.061,0.062,0.062,0.066,0.057,0.049
OGAN KOMERING ILIR,0,0,0.001,0.002,0,0.001,0.001,0,0.023,0.036,0.023,0.039,0.035,0.053,0.046,0.035,1.607,1.716,1.559,1.704,1.714,1.621,1.686,1.651,0.009,0.016,0.046,0.016,0.036,0.039,0.053,0.028,0.065,0.046,0.067,0.1,0.076,0.078,0.062
MUARA ENIM,0,0,0,0,0.001,0,-,-,0.035,0.051,0.071,0.056,0.066,0.061,0.051,0.043,1.724,1.733,1.644,1.659,1.621,1.523,1.568,1.587,0.002,0.008,0.008,0.011,0.012,0.033,0.039,0.013,0.057,0.058,0.05,0.05,0.062,0.046,0.064
LAHAT,0,0.002,0,0.001,-,0.001,0.001,-,0.043,0.071,0.065,0.067,0.086,0.069,0.053,0.048,1.995,1.906,1.89,1.882,2.034,1.974,1.85,1.77,0.009,0.016,0.039,0.023,0.023,0.023,0.034,0.031,0.066,0.073,0.052,0.059,0.058,0.056,0.046
MUSI RAWAS,-,0.001,0.001,0.001,0,0.001,-,0,0.033,0.061,0.047,0.052,0.07,0.057,0.064,0.042,1.763,1.86,1.78,1.821,1.723,1.793,1.707,1.713,0.006,0.014,0.02,0.017,0.027,0.028,0.032,0.018,0.081,0.084,0.067,0.06,0.084,0.07,0.061
MUSI BANYUASIN,0,0,0,-,-,-,-,-,0.046,0.039,0.042,0.068,0.088,0.067,0.058,0.066,1.714,1.559,1.672,1.719,1.588,1.651,1.532,1.532,0.006,0.02,0.017,0.027,0.031,0.018,0.035,0.022,0.057,0.062,0.065,0.07,0.066,0.074,0.072
BANYUASIN,0.001,0,0,0,0,0,0,0.001,0.039,0.038,0.05,0.077,0.072,0.087,0.083,0.056,1.565,1.573,1.487,1.682,1.693,1.562,1.628,1.61,0.005,0.009,0.018,0.019,0.036,0.019,0.033,0.029,0.061,0.063,0.061,0.075,0.072,0.072,0.073
OGAN KOMERING ULU SELATAN,0,0.002,0,-,-,-,-,-,0.029,0.027,0.025,0.026,0.021,0.039,0.039,0.039,1.931,2.002,1.851,1.966,1.83,1.954,1.804,1.791,0.005,0.003,0.006,0.005,0.005,0.008,0.015,0.019,0.061,0.056,0.056,0.046,0.053,0.072,0.063
OGAN KOMERING ULU TIMUR,0,0,0,0,0.001,0,0,0.001,0.014,0.018,0.023,0.019,0.026,0.022,0.015,0.018,1.713,1.64,1.795,1.601,1.575,1.526,1.632,1.589,0.012,0.027,0.052,0.031,0.018,0.025,0.063,0.047,0.088,0.07,0.07,0.064,0.083,0.065,0.071
OGAN ILIR,0,0.001,0.002,-,0,-,-,0,0.043,0.048,0.043,0.048,0.056,0.061,0.057,0.052,1.417,1.484,1.393,1.526,1.484,1.426,1.43,1.409,0.008,0.021,0.029,0.009,0.016,0.015,0.067,0.028,0.045,0.044,0.045,0.051,0.048,0.039,0.04
EMPAT LAWANG,0.001,0.001,0,-,-,-,-,-,0.069,0.072,0.052,0.081,0.096,0.106,0.06,0.063,2.016,1.872,1.989,1.945,1.875,1.956,1.921,1.884,0.025,0.019,0.045,0.032,0.012,0.039,0.057,0.033,0.057,0.041,0.029,0.035,0.055,0.052,0.036
PENUKAL ABAB LEMATANG ILIR,0,0,0,-,0.001,-,-,-,0.028,0.048,0.064,0.043,0.069,0.062,0.039,0.048,1.856,1.735,1.699,1.987,1.984,1.873,1.81,1.785,0.002,0.013,0.012,0.005,0.002,0.02,0.013,0.006,0.052,0.05,0.05,0.055,0.059,0.055,0.063
MUSI RAWAS UTARA,0,0,0,-,-,-,0,0,0.046,0.046,0.047,0.057,0.059,0.061,0.057,0.068,1.839,1.81,1.738,1.721,1.835,1.811,1.686,1.716,0.006,0.006,0.024,0.031,0.025,0.032,0.019,0.021,0.065,0.059,0.074,0.064,0.07,0.058,0.07
KOTA PALEMBANG,0.001,0,0,0.002,-,0,-,0,0.051,0.061,0.049,0.06,0.079,0.07,0.057,0.058,1.201,1.202,1.172,1.211,1.277,1.255,1.254,1.299,0.023,0.032,0.048,0.032,0.036,0.03,0.035,0.029,0.057,0.052,0.044,0.052,0.06,0.049,0.053
KOTA PRABUMULIH,-,0,0,-,0,-,0,0,0.043,0.038,0.041,0.041,0.059,0.068,0.054,0.057,1.255,1.255,1.263,1.322,1.283,1.351,1.219,1.327,0.019,0.012,0.02,0.015,0.014,0.029,0.026,0.016,0.052,0.05,0.055,0.053,0.068,0.079,0.073
KOTA PAGAR ALAM,-,0,0,0.001,0,-,0,-,0.049,0.075,0.053,0.055,0.054,0.037,0.06,0.048,1.738,1.722,1.697,1.577,1.615,1.666,1.7,1.607,0.018,0.022,0.044,0.065,0.027,0.018,0.045,0.035,0.041,0.042,0.029,0.046,0.054,0.023,0.025
KOTA LUBUKLINGGAU,-,0,0,0,0,-,0,0,0.065,0.095,0.069,0.068,0.073,0.073,0.057,0.066,1.496,1.395,1.462,1.595,1.516,1.591,1.467,1.407,0.028,0.026,0.036,0.044,0.023,0.04,0.041,0.035,0.083,0.069,0.068,0.068,0.065,0.055,0.058
BENGKULU SELATAN,-,0.005,0,-,0,0.001,-,-,0.028,0.049,0.032,0.038,0.048,0.04,0.034,0.036,1.806,1.769,1.875,1.835,1.761,1.794,1.786,1.664,0.032,0.021,0.049,0.043,0.03,0.052,0.042,0.051,0.038,0.038,0.039,0.045,0.03,0.039,0.043
REJANG LEBONG,-,0,0,0,-,-,0,-,0.073,0.092,0.07,0.082,0.075,0.092,0.078,0.074,1.802,1.709,1.754,1.807,1.816,1.798,1.717,1.639,0.038,0.032,0.039,0.049,0.027,0.03,0.042,0.025,0.032,0.04,0.042,0.04,0.038,0.035,0.039
BENGKULU UTARA,0,0,0,-,0,0,0,0,0.063,0.072,0.061,0.062,0.089,0.065,0.07,0.064,1.834,1.772,1.648,1.698,1.702,1.65,1.756,1.805,0.032,0.017,0.03,0.034,0.023,0.053,0.044,0.028,0.081,0.079,0.072,0.07,0.066,0.069,0.074
KAUR,0,0.001,0,0.001,0.001,0,0,0,0.026,0.04,0.036,0.041,0.052,0.037,0.024,0.03,2.168,1.996,2.142,2.031,2.12,2.081,1.798,1.783,0.018,0.007,0.015,0.017,0.048,0.037,0.04,0.031,0.031,0.045,0.033,0.049,0.043,0.033,0.024
SELUMA,0,0,0.001,-,0.001,0,0,-,0.035,0.056,0.044,0.051,0.074,0.072,0.05,0.061,1.838,1.929,1.833,1.745,1.657,1.712,1.674,1.754,0.016,0.007,0.025,0.016,0.063,0.026,0.058,0.047,0.057,0.044,0.048,0.052,0.057,0.057,0.06
MUKOMUKO,0,0,0,0,0.001,-,-,-,0.1,0.096,0.109,0.093,0.092,0.088,0.079,0.085,1.762,1.76,1.832,1.636,1.698,1.68,1.62,1.588,0.026,0.017,0.029,0.037,0.02,0.032,0.024,0.03,0.088,0.058,0.074,0.074,0.06,0.069,0.076
LEBONG,0.001,0.001,0,0,-,-,0,0,0.082,0.122,0.099,0.114,0.099,0.112,0.082,0.07,2.104,2.084,2.011,2.059,2.202,2.176,1.918,1.996,0.022,0.033,0.036,0.026,0.015,0.021,0.063,0.028,0.038,0.061,0.032,0.039,0.034,0.035,0.023
KEPAHIANG,0,0,0,0.001,-,-,-,-,0.074,0.085,0.067,0.093,0.085,0.09,0.079,0.067,1.912,1.906,1.781,1.851,1.771,1.841,1.843,1.668,0.035,0.035,0.168,0.065,0.031,0.049,0.107,0.051,0.043,0.035,0.048,0.041,0.037,0.045,0.04
BENGKULU TENGAH,-,0,0,-,-,-,-,0,0.057,0.084,0.068,0.071,0.086,0.08,0.085,0.09,1.853,1.821,1.76,1.933,1.851,1.786,1.824,1.714,0.023,0.027,0.045,0.029,0.021,0.027,0.085,0.03,0.055,0.054,0.052,0.051,0.062,0.066,0.055
KOTA BENGKULU,0.001,0,0,0.001,-,0,-,-,0.093,0.083,0.063,0.075,0.082,0.076,0.055,0.067,1.413,1.269,1.241,1.345,1.362,1.323,1.291,1.274,0.06,0.054,0.069,0.05,0.042,0.049,0.084,0.046,0.081,0.062,0.066,0.061,0.059,0.059,0.051
LAMPUNG BARAT,0.001,0.001,0,0.001,0,-,0.001,-,0.043,0.045,0.042,0.063,0.063,0.035,0.038,0.043,1.882,1.891,1.844,1.928,1.895,1.878,1.839,1.652,0.014,0.016,0.046,0.034,0.048,0.01,0.041,0.035,0.073,0.07,0.072,0.066,0.085,0.059,0.076
TANGGAMUS,0.001,0,0.001,0,-,-,0,0,0.021,0.031,0.018,0.025,0.022,0.019,0.015,0.017,1.724,1.562,1.639,1.718,1.725,1.758,1.657,1.624,0.014,0.026,0.043,0.023,0.015,0.027,0.023,0.023,0.075,0.065,0.058,0.055,0.07,0.073,0.06
LAMPUNG SELATAN,0.003,0.001,0,0,0.001,0,0,0,0.019,0.017,0.022,0.031,0.036,0.031,0.031,0.027,1.568,1.538,1.513,1.573,1.633,1.588,1.519,1.572,0.011,0.021,0.072,0.029,0.031,0.034,0.032,0.051,0.061,0.061,0.085,0.071,0.085,0.059,0.057
LAMPUNG TIMUR,0.001,0.001,0,0,0,0,0,-,0.02,0.022,0.036,0.039,0.058,0.027,0.018,0.025,1.55,1.498,1.507,1.581,1.621,1.6,1.583,1.454,0.015,0.026,0.115,0.006,0.044,0.021,0.027,0.024,0.044,0.04,0.052,0.055,0.075,0.058,0.048
LAMPUNG TENGAH,0,0,0.001,0,0.001,0,0,0,0.011,0.021,0.021,0.027,0.04,0.029,0.027,0.016,1.626,1.499,1.557,1.698,1.578,1.599,1.552,1.564,0.015,0.058,0.114,0.016,0.015,0.034,0.067,0.07,0.054,0.074,0.071,0.057,0.064,0.062,0.071
LAMPUNG UTARA,-,0.001,0.001,0,0,0.001,0,0,0.008,0.021,0.011,0.035,0.03,0.022,0.016,0.018,1.524,1.515,1.46,1.56,1.528,1.543,1.535,1.46,0.005,0.014,0.152,0.021,0.015,0.023,0.043,0.022,0.072,0.074,0.076,0.063,0.069,0.054,0.055
WAY KANAN,-,0,0,0,0,0.002,-,0,0.02,0.026,0.035,0.032,0.034,0.027,0.016,0.012,1.701,1.685,1.699,1.691,1.672,1.702,1.672,1.69,0.014,0.023,0.079,0.007,0.031,0.029,0.086,0.052,0.068,0.055,0.074,0.055,0.066,0.082,0.067
TULANG BAWANG,0.001,0.001,0,-,0,-,0.002,0,0.011,0.016,0.02,0.017,0.028,0.026,0.013,0.019,1.599,1.639,1.534,1.532,1.598,1.648,1.594,1.593,0.019,0.085,0.182,0.023,0.044,0.016,0.055,0.074,0.071,0.065,0.068,0.058,0.061,0.054,0.074
PESAWARAN,0,0.001,0.001,0.001,-,0,0,0.001,0.008,0.016,0.012,0.028,0.03,0.012,0.022,0.016,1.578,1.624,1.62,1.722,1.626,1.667,1.607,1.531,0.011,0.03,0.046,0.013,0.011,0.017,0.057,0.046,0.042,0.054,0.067,0.06,0.087,0.069,0.059
PRINGSEWU,0,0,0,0,0,0.001,-,-,0.01,0.022,0.014,0.028,0.023,0.028,0.01,0.012,1.514,1.426,1.427,1.499,1.542,1.564,1.548,1.488,0.012,0.024,0.062,0.02,0.025,0.015,0.031,0.029,0.057,0.05,0.051,0.057,0.048,0.046,0.048
MESUJI,0.001,0,0,-,-,0,0,-,0.012,0.017,0.029,0.02,0.024,0.024,0.016,0.013,1.797,1.672,1.62,1.658,1.696,1.711,1.669,1.653,0.034,0.045,0.232,0.019,0.019,0.02,0.038,0.036,0.068,0.051,0.083,0.065,0.073,0.061,0.085
TULANG BAWANG BARAT,0.001,0,0,0,0.002,-,0,-,0.01,0.013,0.013,0.016,0.019,0.024,0.018,0.018,1.441,1.519,1.495,1.533,1.596,1.613,1.542,1.562,0.009,0.049,0.11,0.014,0.026,0.01,0.125,0.037,0.051,0.065,0.07,0.072,0.073,0.054,0.06
PESISIR BARAT,0.001,0,0,0.001,0.001,0.001,-,0,0.027,0.041,0.033,0.042,0.038,0.042,0.039,0.042,1.906,1.89,1.809,1.673,1.779,1.818,1.884,1.561,0.014,0.019,0.023,0.011,0.01,0.006,0.038,0.033,0.078,0.05,0.078,0.066,0.055,0.048,0.075
KOTA BANDAR LAMPUNG,0,0,0,0.001,0,0,0.001,0,0.027,0.03,0.043,0.055,0.061,0.04,0.037,0.045,1.236,1.248,1.18,1.263,1.259,1.267,1.223,1.242,0.023,0.026,0.04,0.022,0.035,0.032,0.037,0.038,0.055,0.066,0.058,0.07,0.058,0.054,0.056
KOTA METRO,0.001,0,0,-,0,0.001,0.001,0,0.027,0.026,0.039,0.03,0.024,0.027,0.026,0.026,1.256,1.231,1.264,1.295,1.198,1.236,1.222,1.184,0.009,0.025,0.092,0.017,0.019,0.03,0.039,0.033,0.069,0.063,0.084,0.066,0.065,0.059,0.057
BANGKA,-,0,0,-,-,0.001,-,-,0.036,0.045,0.041,0.042,0.049,0.058,0.045,0.049,1.582,1.499,1.415,1.541,1.438,1.412,1.414,1.352,0.012,0.016,0.022,0.013,0.016,0.058,0.024,0.025,0.089,0.09,0.098,0.077,0.097,0.091,0.083
BELITUNG,0,0,0,0,-,0,-,0.001,0.022,0.035,0.029,0.029,0.027,0.024,0.022,0.023,1.418,1.415,1.369,1.463,1.424,1.431,1.314,1.333,0.001,0.006,0.006,0.009,0.004,0.003,0.01,0.013,0.082,0.081,0.08,0.086,0.087,0.063,0.054
BANGKA BARAT,0,0,0,0,-,-,-,-,0.04,0.038,0.036,0.034,0.043,0.047,0.035,0.031,1.609,1.616,1.628,1.68,1.46,1.415,1.32,1.463,0.007,0.007,0.019,0.015,0.023,0.02,0.022,0.013,0.053,0.061,0.067,0.077,0.074,0.087,0.055
BANGKA TENGAH,-,0,0,0,0,0.001,-,-,0.024,0.039,0.032,0.035,0.052,0.035,0.035,0.036,1.427,1.486,1.43,1.493,1.488,1.464,1.438,1.542,0.007,0.021,0.024,0.014,0.023,0.032,0.024,0.023,0.069,0.076,0.073,0.079,0.097,0.078,0.046
BANGKA SELATAN,-,0,0,-,-,-,-,-,0.015,0.02,0.019,0.014,0.03,0.019,0.022,0.023,1.778,1.614,1.677,1.699,1.702,1.661,1.628,1.732,0.001,0.001,0.007,0.002,0.009,0.013,0.002,0.004,0.053,0.063,0.059,0.049,0.052,0.042,0.047
BELITUNG TIMUR,-,0,0,0.001,-,-,-,0.003,0.019,0.027,0.027,0.029,0.044,0.023,0.02,0.025,1.58,1.462,1.514,1.532,1.51,1.552,1.478,1.458,0.005,0.015,0.011,0.018,0.019,0.017,0.02,0.03,0.049,0.034,0.063,0.044,0.049,0.025,0.033
KOTA PANGKALPINANG,-,0,0,0,0,0,0.001,0,0.053,0.053,0.062,0.06,0.084,0.052,0.069,0.057,1.246,1.251,1.242,1.241,1.272,1.247,1.193,1.183,0.013,0.025,0.031,0.027,0.029,0.035,0.037,0.027,0.073,0.087,0.077,0.079,0.093,0.09,0.074
KARIMUN,0.001,0.001,0,0.001,0.007,0.001,0.001,-,0.053,0.057,0.077,0.086,0.068,0.063,0.068,0.062,1.339,1.26,1.223,1.217,1.242,1.307,1.255,1.223,0.017,0.005,0.01,0.011,0.003,0.014,0.024,0.021,0.081,0.108,0.11,0.106,0.087,0.082,0.077
BINTAN,0.001,0,0,-,-,-,0.001,0.001,0.057,0.053,0.063,0.07,0.08,0.073,0.059,0.068,1.337,1.32,1.32,1.332,1.259,1.326,1.242,1.28,0.006,0.018,0.012,0.01,0.028,0.02,0.02,0.048,0.114,0.104,0.099,0.123,0.105,0.08,0.096
NATUNA,-,0,0,0,-,0.001,-,0,0.027,0.021,0.021,0.017,0.025,0.019,0.025,0.021,1.373,1.272,1.335,1.264,1.134,1.32,1.283,1.299,0.008,0.013,0.007,0.018,0.006,0.011,0.015,0.004,0.048,0.039,0.06,0.067,0.06,0.063,0.047
LINGGA,-,0,0,-,-,-,0,-,0.023,0.028,0.022,0.031,0.042,0.04,0.033,0.028,1.535,1.475,1.512,1.392,1.319,1.403,1.465,1.452,0.022,0.005,0.004,0.01,0.009,0.004,0.005,0.006,0.048,0.043,0.042,0.055,0.043,0.045,0.038
KEPULAUAN ANAMBAS,-,0,0,-,-,-,-,0,0.022,0.036,0.026,0.021,0.037,0.021,0.037,0.042,1.351,1.244,1.111,1.078,1.071,1.14,1.102,1.157,0.003,0.005,0.004,0.004,0.004,0.006,0.001,0.005,0.041,0.019,0.048,0.045,0.045,0.048,0.028
KOTA BATAM,0,0,0,0.001,0,0.001,0,0,0.084,0.105,0.093,0.112,0.098,0.086,0.08,0.094,1.267,1.239,1.278,1.263,1.298,1.226,1.208,1.272,0.022,0.02,0.028,0.024,0.028,0.037,0.024,0.041,0.104,0.102,0.102,0.107,0.109,0.091,0.086
