,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,"Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)",Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam
nama_kab,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024
PIDIE JAYA,0,0,0,-,0.001,0.001,0,0,0.068,0.082,0.097,0.087,0.111,0.103,0.08,0.06,1.881,1.895,2.077,1.931,1.986,1.768,1.807,1.913,0.005,0.008,0.011,0.028,0.026,0.032,0.012,0.015,0.065,0.073,0.101,0.103,0.087,0.074,0.092
KOTA BANDA ACEH,0.003,0.001,0.001,0,0.003,-,0,0,0.1,0.08,0.091,0.094,0.136,0.092,0.075,0.076,1.149,1.18,1.115,1.144,1.131,1.204,1.122,1.234,0.041,0.04,0.042,0.037,0.031,0.03,0.039,0.037,0.055,0.039,0.043,0.043,0.054,0.039,0.036
KOTA SABANG,-,0,0.005,0,0.001,0,-,-,0.062,0.088,0.074,0.073,0.093,0.087,0.081,0.094,1.37,1.376,1.369,1.445,1.428,1.536,1.491,1.492,0.041,0.04,0.031,0.037,0.028,0.019,0.01,0.037,0.059,0.092,0.081,0.076,0.072,0.062,0.066
KOTA LANGSA,0,0.001,0.001,0,0.001,-,0,-,0.063,0.061,0.059,0.06,0.071,0.046,0.056,0.052,1.258,1.245,1.225,1.299,1.283,1.276,1.285,1.24,0.017,0.018,0.022,0.02,0.016,0.008,0.019,0.014,0.042,0.053,0.052,0.052,0.045,0.04,0.047
KOTA LHOKSEUMAWE,0.002,0.001,0.001,0,0,-,0,0.001,0.08,0.074,0.083,0.112,0.101,0.074,0.075,0.084,1.436,1.358,1.351,1.406,1.368,1.296,1.379,1.339,0.014,0.009,0.028,0.027,0.024,0.018,0.015,0.019,0.048,0.057,0.057,0.047,0.041,0.042,0.052
KOTA SUBULUSSALAM,-,0,0,0,0,-,0.002,0,0.071,0.089,0.064,0.095,0.101,0.09,0.077,0.098,1.961,1.936,1.9,1.825,1.733,1.816,1.67,1.822,0.001,0.004,0.006,0.017,0.019,0.01,0.02,0.028,0.044,0.05,0.062,0.07,0.077,0.056,0.057
NIAS,0,0,0,-,-,-,-,-,0.004,0.003,0.004,0.005,0.007,0.007,0.005,0.003,2.27,2.347,2.329,2.317,2.285,2.484,2.296,2.248,0.005,0.004,0.002,0.005,0.002,0.001,0.002,0.004,0.029,0.025,0.02,0.02,0.039,0.043,0.038
MANDAILING NATAL,-,0,0,-,0,0.001,-,0,0.123,0.145,0.136,0.148,0.133,0.159,0.135,0.134,2.237,2.181,2.095,2.044,2.133,2.228,2.097,1.912,0.011,0.004,0.017,0.01,0.007,0.009,0.002,0.006,0.044,0.058,0.054,0.054,0.056,0.066,0.051
TAPANULI SELATAN,-,0,0.001,0,0,-,-,0,0.131,0.156,0.171,0.147,0.162,0.166,0.156,0.152,2.542,2.377,2.214,2.128,2.162,2.151,2.007,1.998,0.002,0.019,0.001,0.003,0.029,0.007,0.004,0.002,0.053,0.054,0.057,0.052,0.045,0.045,0.042
TAPANULI TENGAH,-,0,0,0.001,-,-,0,0.001,0.026,0.031,0.037,0.066,0.041,0.041,0.034,0.03,2.246,2.137,1.937,1.967,1.938,1.888,1.92,1.936,0.002,0.01,0.003,0.004,0.012,0.005,0.004,0.007,0.038,0.036,0.033,0.042,0.04,0.032,0.036
